env_step,episode_reward,env,seed,agent
2300000.0,860.9423828125,dog-trot,1,iQRL
2400000.0,843.8665710449219,dog-trot,1,iQRL
2500000.0,860.8425109863281,dog-trot,1,iQRL
2600000.0,867.0757690429688,dog-trot,1,iQRL
2700000.0,865.5257690429687,dog-trot,1,iQRL
2800000.0,860.4666931152344,dog-trot,1,iQRL
2900000.0,872.2300231933593,dog-trot,1,iQRL
3000000.0,877.5857849121094,dog-trot,1,iQRL
100000.0,39.654070663452146,dog-trot,3,iQRL
200000.0,87.0747802734375,dog-trot,3,iQRL
300000.0,144.12643508911134,dog-trot,3,iQRL
400000.0,218.70074005126952,dog-trot,3,iQRL
500000.0,294.27636871337893,dog-trot,3,iQRL
600000.0,356.7323699951172,dog-trot,3,iQRL
700000.0,382.4638946533203,dog-trot,3,iQRL
800000.0,436.6690246582031,dog-trot,3,iQRL
900000.0,455.3302734375,dog-trot,3,iQRL
1000000.0,513.041049194336,dog-trot,3,iQRL
1100000.0,554.7936767578125,dog-trot,3,iQRL
1200000.0,545.4077033996582,dog-trot,3,iQRL
1300000.0,723.6108764648437,dog-trot,3,iQRL
1400000.0,808.9799682617188,dog-trot,3,iQRL
1500000.0,783.0856689453125,dog-trot,3,iQRL
1600000.0,766.9914428710938,dog-trot,3,iQRL
1700000.0,814.1888732910156,dog-trot,3,iQRL
1800000.0,826.1376342773438,dog-trot,3,iQRL
1900000.0,823.6524841308594,dog-trot,3,iQRL
2000000.0,788.9985931396484,dog-trot,3,iQRL
2100000.0,832.4176635742188,dog-trot,3,iQRL
2200000.0,830.6351745605468,dog-trot,3,iQRL
2300000.0,851.5367004394532,dog-trot,3,iQRL
2400000.0,851.7958923339844,dog-trot,3,iQRL
2500000.0,817.7919677734375,dog-trot,3,iQRL
2600000.0,826.0761535644531,dog-trot,3,iQRL
2700000.0,842.2264465332031,dog-trot,3,iQRL
2800000.0,821.4268127441406,dog-trot,3,iQRL
2900000.0,826.7104248046875,dog-trot,3,iQRL
3000000.0,843.3977233886719,dog-trot,3,iQRL
100000.0,45.50238952636719,dog-trot,2,iQRL
200000.0,96.83160247802736,dog-trot,2,iQRL
300000.0,179.42025146484374,dog-trot,2,iQRL
400000.0,341.5063903808594,dog-trot,2,iQRL
500000.0,489.7487243652343,dog-trot,2,iQRL
600000.0,553.339404296875,dog-trot,2,iQRL
700000.0,699.5097229003907,dog-trot,2,iQRL
800000.0,745.7151245117187,dog-trot,2,iQRL
900000.0,725.1098205566407,dog-trot,2,iQRL
1000000.0,825.7699890136719,dog-trot,2,iQRL
1100000.0,832.9861389160156,dog-trot,2,iQRL
1200000.0,843.1614929199219,dog-trot,2,iQRL
1300000.0,840.0520935058594,dog-trot,2,iQRL
1400000.0,835.0474914550781,dog-trot,2,iQRL
1500000.0,848.7667419433594,dog-trot,2,iQRL
1600000.0,840.9872802734375,dog-trot,2,iQRL
1700000.0,840.9420715332031,dog-trot,2,iQRL
1800000.0,833.4472595214844,dog-trot,2,iQRL
1900000.0,834.7195556640625,dog-trot,2,iQRL
2000000.0,849.2113098144531,dog-trot,2,iQRL
2100000.0,844.4264038085937,dog-trot,2,iQRL
2200000.0,858.5789245605469,dog-trot,2,iQRL
2300000.0,839.3746459960937,dog-trot,2,iQRL
2400000.0,853.3674926757812,dog-trot,2,iQRL
2500000.0,837.2473937988282,dog-trot,2,iQRL
2600000.0,857.5699157714844,dog-trot,2,iQRL
2700000.0,861.5950317382812,dog-trot,2,iQRL
2800000.0,844.2840454101563,dog-trot,2,iQRL
2900000.0,847.0569091796875,dog-trot,2,iQRL
3000000.0,875.0154357910156,dog-trot,2,iQRL
100000.0,62.22387008666992,dog-walk,1,iQRL
200000.0,273.506526184082,dog-walk,1,iQRL
300000.0,469.13434448242185,dog-walk,1,iQRL
400000.0,598.5675659179688,dog-walk,1,iQRL
500000.0,724.3708984375,dog-walk,1,iQRL
600000.0,784.7070251464844,dog-walk,1,iQRL
700000.0,826.7815368652343,dog-walk,1,iQRL
800000.0,839.8851501464844,dog-walk,1,iQRL
900000.0,873.8801513671875,dog-walk,1,iQRL
1000000.0,834.9307495117188,dog-walk,1,iQRL
1100000.0,871.3234252929688,dog-walk,1,iQRL
1200000.0,895.7005065917969,dog-walk,1,iQRL
1300000.0,896.171875,dog-walk,1,iQRL
1400000.0,903.8306701660156,dog-walk,1,iQRL
1500000.0,872.6292114257812,dog-walk,1,iQRL
1600000.0,907.5753784179688,dog-walk,1,iQRL
1700000.0,896.1382446289062,dog-walk,1,iQRL
1800000.0,888.4133056640625,dog-walk,1,iQRL
1900000.0,891.0341552734375,dog-walk,1,iQRL
2000000.0,898.8082092285156,dog-walk,1,iQRL
2100000.0,899.3908508300781,dog-walk,1,iQRL
2200000.0,894.9947143554688,dog-walk,1,iQRL
2300000.0,912.6374938964844,dog-walk,1,iQRL
2400000.0,892.6867980957031,dog-walk,1,iQRL
2500000.0,897.1375427246094,dog-walk,1,iQRL
2600000.0,922.0962829589844,dog-walk,1,iQRL
2700000.0,909.9781188964844,dog-walk,1,iQRL
2800000.0,894.6509521484375,dog-walk,1,iQRL
2900000.0,912.884344482422,dog-walk,1,iQRL
3000000.0,914.8925415039064,dog-walk,1,iQRL
100000.0,18.10173795223236,dog-walk,2,iQRL
200000.0,155.28548889160157,dog-walk,2,iQRL
300000.0,355.16632385253905,dog-walk,2,iQRL
400000.0,503.9896759033203,dog-walk,2,iQRL
500000.0,565.3529113769531,dog-walk,2,iQRL
600000.0,710.3546508789062,dog-walk,2,iQRL
700000.0,772.7169982910157,dog-walk,2,iQRL
800000.0,809.5802124023437,dog-walk,2,iQRL
900000.0,852.7878601074219,dog-walk,2,iQRL
1000000.0,860.9424011230469,dog-walk,2,iQRL
1100000.0,874.9923156738281,dog-walk,2,iQRL
1200000.0,854.1131591796875,dog-walk,2,iQRL
1300000.0,857.7767761230468,dog-walk,2,iQRL
1400000.0,886.1659973144531,dog-walk,2,iQRL
1500000.0,888.3142700195312,dog-walk,2,iQRL
1600000.0,896.4778076171875,dog-walk,2,iQRL
1700000.0,888.8568359375,dog-walk,2,iQRL
1800000.0,906.1245300292968,dog-walk,2,iQRL
1900000.0,886.8232299804688,dog-walk,2,iQRL
2000000.0,916.2804382324218,dog-walk,2,iQRL
2100000.0,916.0460388183594,dog-walk,2,iQRL
2200000.0,912.7311096191406,dog-walk,2,iQRL
2300000.0,899.2132690429687,dog-walk,2,iQRL
2400000.0,901.5202392578124,dog-walk,2,iQRL
2500000.0,922.1816467285156,dog-walk,2,iQRL
2600000.0,909.199639892578,dog-walk,2,iQRL
2700000.0,932.2481872558594,dog-walk,2,iQRL
2800000.0,917.2049865722656,dog-walk,2,iQRL
2900000.0,913.395867919922,dog-walk,2,iQRL
3000000.0,919.3723022460938,dog-walk,2,iQRL
100000.0,90.9863784790039,dog-walk,3,iQRL
200000.0,375.4979095458984,dog-walk,3,iQRL
300000.0,474.2998544692993,dog-walk,3,iQRL
400000.0,623.5489135742188,dog-walk,3,iQRL
500000.0,669.0605224609375,dog-walk,3,iQRL
600000.0,824.0070739746094,dog-walk,3,iQRL
700000.0,867.1798095703125,dog-walk,3,iQRL
800000.0,886.8994689941406,dog-walk,3,iQRL
900000.0,917.0166625976562,dog-walk,3,iQRL
1000000.0,903.852685546875,dog-walk,3,iQRL
1100000.0,899.9006286621094,dog-walk,3,iQRL
1200000.0,907.8395385742188,dog-walk,3,iQRL
1300000.0,915.6774536132812,dog-walk,3,iQRL
1400000.0,912.6559509277344,dog-walk,3,iQRL
1500000.0,920.3186645507812,dog-walk,3,iQRL
1600000.0,922.4140747070312,dog-walk,3,iQRL
1700000.0,922.1285583496094,dog-walk,3,iQRL
1800000.0,883.8414672851562,dog-walk,3,iQRL
1900000.0,914.2612060546876,dog-walk,3,iQRL
2000000.0,918.3386108398438,dog-walk,3,iQRL
2100000.0,929.187432861328,dog-walk,3,iQRL
2200000.0,920.2809814453124,dog-walk,3,iQRL
2300000.0,923.1468994140624,dog-walk,3,iQRL
2400000.0,939.7020568847656,dog-walk,3,iQRL
2500000.0,924.3681640625,dog-walk,3,iQRL
2600000.0,926.0437255859376,dog-walk,3,iQRL
2700000.0,913.375830078125,dog-walk,3,iQRL
2800000.0,914.643524169922,dog-walk,3,iQRL
2900000.0,931.9463745117188,dog-walk,3,iQRL
3000000.0,924.8735412597656,dog-walk,3,iQRL
100000.0,0.7807629749178886,humanoid-run,1,iQRL
200000.0,67.54749603271485,humanoid-run,1,iQRL
300000.0,91.3239501953125,humanoid-run,1,iQRL
400000.0,96.84567489624024,humanoid-run,1,iQRL
500000.0,107.99065246582032,humanoid-run,1,iQRL
600000.0,122.7765007019043,humanoid-run,1,iQRL
700000.0,143.96455917358398,humanoid-run,1,iQRL
800000.0,166.76990814208983,humanoid-run,1,iQRL
900000.0,189.29401550292968,humanoid-run,1,iQRL
1000000.0,201.0585754394531,humanoid-run,1,iQRL
1100000.0,216.46062622070312,humanoid-run,1,iQRL
1200000.0,228.97813415527344,humanoid-run,1,iQRL
1300000.0,242.1308471679687,humanoid-run,1,iQRL
1400000.0,248.37911224365232,humanoid-run,1,iQRL
1500000.0,257.0740737915039,humanoid-run,1,iQRL
1600000.0,269.3508697509766,humanoid-run,1,iQRL
1700000.0,273.88844909667966,humanoid-run,1,iQRL
1800000.0,275.12498779296874,humanoid-run,1,iQRL
1900000.0,285.41249389648436,humanoid-run,1,iQRL
2000000.0,297.1779418945313,humanoid-run,1,iQRL
2100000.0,305.0665710449219,humanoid-run,1,iQRL
2200000.0,306.84368591308595,humanoid-run,1,iQRL
2300000.0,314.50575561523436,humanoid-run,1,iQRL
2400000.0,314.6307373046875,humanoid-run,1,iQRL
2500000.0,322.07005615234374,humanoid-run,1,iQRL
2600000.0,328.737744140625,humanoid-run,1,iQRL
2700000.0,323.7697723388672,humanoid-run,1,iQRL
2800000.0,334.4652557373047,humanoid-run,1,iQRL
2900000.0,336.61720886230466,humanoid-run,1,iQRL
3000000.0,341.8165588378906,humanoid-run,1,iQRL
100000.0,2.3612762212753298,humanoid-run,2,iQRL
200000.0,72.14883346557617,humanoid-run,2,iQRL
300000.0,81.84596786499023,humanoid-run,2,iQRL
400000.0,92.12832641601562,humanoid-run,2,iQRL
500000.0,109.05125198364256,humanoid-run,2,iQRL
600000.0,117.97985458374023,humanoid-run,2,iQRL
700000.0,130.81609115600585,humanoid-run,2,iQRL
800000.0,141.99780883789063,humanoid-run,2,iQRL
900000.0,154.53941650390624,humanoid-run,2,iQRL
1000000.0,167.1214401245117,humanoid-run,2,iQRL
1100000.0,178.2470947265625,humanoid-run,2,iQRL
1200000.0,188.23790283203124,humanoid-run,2,iQRL
1300000.0,195.56215209960936,humanoid-run,2,iQRL
1400000.0,197.4528060913086,humanoid-run,2,iQRL
1500000.0,201.1600082397461,humanoid-run,2,iQRL
1600000.0,211.1032974243164,humanoid-run,2,iQRL
1700000.0,215.06071014404296,humanoid-run,2,iQRL
1800000.0,210.82068252563477,humanoid-run,2,iQRL
1900000.0,224.90489654541017,humanoid-run,2,iQRL
2000000.0,226.6962905883789,humanoid-run,2,iQRL
2100000.0,243.18458557128903,humanoid-run,2,iQRL
2200000.0,250.9666549682617,humanoid-run,2,iQRL
2300000.0,249.3148666381836,humanoid-run,2,iQRL
2400000.0,275.8913146972656,humanoid-run,2,iQRL
2500000.0,289.3597717285156,humanoid-run,2,iQRL
2600000.0,299.3546508789062,humanoid-run,2,iQRL
2700000.0,320.5436187744141,humanoid-run,2,iQRL
2800000.0,310.97633209228513,humanoid-run,2,iQRL
2900000.0,312.7016845703125,humanoid-run,2,iQRL
3000000.0,333.94582214355466,humanoid-run,2,iQRL
100000.0,1.0321523129940031,humanoid-run,3,iQRL
200000.0,71.00217742919922,humanoid-run,3,iQRL
300000.0,88.73045959472657,humanoid-run,3,iQRL
400000.0,87.60489273071289,humanoid-run,3,iQRL
500000.0,104.49599609375,humanoid-run,3,iQRL
600000.0,125.93413543701172,humanoid-run,3,iQRL
700000.0,130.35660095214843,humanoid-run,3,iQRL
800000.0,137.92720061540604,humanoid-run,3,iQRL
900000.0,172.14087371826173,humanoid-run,3,iQRL
1000000.0,198.5873016357422,humanoid-run,3,iQRL
1100000.0,226.06608123779296,humanoid-run,3,iQRL
1200000.0,247.6751846313477,humanoid-run,3,iQRL
1300000.0,260.5793060302734,humanoid-run,3,iQRL
1400000.0,266.9900436401367,humanoid-run,3,iQRL
1500000.0,281.32297973632814,humanoid-run,3,iQRL
1600000.0,281.3212158203125,humanoid-run,3,iQRL
1700000.0,300.8722351074219,humanoid-run,3,iQRL
1800000.0,297.9742828369141,humanoid-run,3,iQRL
1900000.0,304.0315399169922,humanoid-run,3,iQRL
2000000.0,317.3537658691406,humanoid-run,3,iQRL
2100000.0,308.9635406494141,humanoid-run,3,iQRL
2200000.0,318.23842163085936,humanoid-run,3,iQRL
2300000.0,323.65367126464844,humanoid-run,3,iQRL
2400000.0,329.2231872558594,humanoid-run,3,iQRL
2500000.0,329.50140380859375,humanoid-run,3,iQRL
2600000.0,325.8704528808594,humanoid-run,3,iQRL
2700000.0,298.98271484375,humanoid-run,3,iQRL
2800000.0,332.59521484375,humanoid-run,3,iQRL
2900000.0,333.6182525634766,humanoid-run,3,iQRL
3000000.0,333.1277557373047,humanoid-run,3,iQRL
100000.0,4.911047694087029,humanoid-stand,1,iQRL
200000.0,151.94037704467777,humanoid-stand,1,iQRL
300000.0,293.1900352478027,humanoid-stand,1,iQRL
400000.0,404.56861572265626,humanoid-stand,1,iQRL
500000.0,440.6389404296875,humanoid-stand,1,iQRL
600000.0,513.2229583740234,humanoid-stand,1,iQRL
700000.0,541.4022674560547,humanoid-stand,1,iQRL
800000.0,583.1901184082031,humanoid-stand,1,iQRL
900000.0,621.9830871582031,humanoid-stand,1,iQRL
1000000.0,682.5917419433594,humanoid-stand,1,iQRL
1100000.0,817.6875854492188,humanoid-stand,1,iQRL
1200000.0,841.8723022460938,humanoid-stand,1,iQRL
1300000.0,857.7920288085937,humanoid-stand,1,iQRL
1400000.0,866.197021484375,humanoid-stand,1,iQRL
1500000.0,867.866259765625,humanoid-stand,1,iQRL
1600000.0,890.1182250976562,humanoid-stand,1,iQRL
1700000.0,885.6344421386718,humanoid-stand,1,iQRL
1800000.0,885.5823974609375,humanoid-stand,1,iQRL
1900000.0,883.7208190917969,humanoid-stand,1,iQRL
2000000.0,856.1650085449219,humanoid-stand,1,iQRL
2100000.0,892.125634765625,humanoid-stand,1,iQRL
2200000.0,895.9999877929688,humanoid-stand,1,iQRL
