eval/return/2aaoa98u,eval/return/acjz38un,eval/return/qer0j081,eval/return/5xwo7yxr,eval/return/vzm3wv5u,eval/return/fd0tcb3v,eval/return/39jd8o4t,eval/return/k3tyfl30,eval/return/jec1qe1o,eval/return/tamtn5vt,step,wallclock
3196.281982421875,3106.018310546875,913.8026123046875,1194.390625,1449.9830322265625,3402.4755859375,2623.44384765625,1999.149169921875,3174.022216796875,986.5911254882812,183326.0,0.03651201308325485
2359.301025390625,3179.15185546875,3114.1865234375,1220.74267578125,1286.8751220703125,3427.952880859375,1930.5511474609375,787.2381591796875,3166.4541015625,2951.193603515625,199992.0,0.03983128699991438
1234.894775390625,2189.15478515625,1661.1368408203125,3029.665283203125,3297.863037109375,3076.44775390625,3128.6201171875,3008.675048828125,968.5983276367188,946.6098022460938,216658.0,0.04315056091657391
2538.577392578125,1236.9361572265625,1195.754150390625,1083.422607421875,1573.6658935546875,3309.280517578125,3215.837158203125,3238.218994140625,3354.087646484375,987.42724609375,233324.0,0.04646983483323345
3343.244384765625,3209.70654296875,2138.1875,1112.97705078125,344.951904296875,3419.0107421875,1941.6898193359375,1343.795654296875,2079.235595703125,3256.4326171875,249990.0,0.04978910874989298
3416.923828125,2121.723388671875,3205.785400390625,3150.32373046875,3443.501708984375,1256.144775390625,1210.046142578125,3160.642333984375,3289.91064453125,3310.165283203125,266656.0,0.05310838266655251
813.957275390625,3232.250244140625,3146.802001953125,1091.9324951171875,1557.7008056640625,3493.1171875,2169.502685546875,2656.093505859375,3343.53369140625,1353.720458984375,283322.0,0.05642765658321204
1450.9591064453125,183.37608337402344,3251.796142578125,2813.917724609375,1770.117919921875,3431.012451171875,1640.7625732421875,1788.52734375,3330.00537109375,1942.60400390625,299988.0,0.05974693049987157
654.0249633789062,3279.9072265625,3189.915771484375,1052.361083984375,2722.5126953125,3467.640869140625,2109.26806640625,1316.3447265625,1043.8038330078125,3282.79052734375,316654.0,0.0630662044165311
1420.619384765625,1383.1568603515625,3195.255859375,1189.10888671875,3414.754638671875,3483.305908203125,3210.355224609375,1017.2164916992188,3305.765869140625,3317.988037109375,333320.0,0.06638547833319064
1055.7401123046875,1017.7705078125,1443.1802978515625,1330.13623046875,3406.22900390625,3489.009765625,3274.4814453125,3329.87890625,1030.7877197265625,3290.8408203125,349986.0,0.06970475224985016
3439.080078125,54.92538070678711,2520.287353515625,3267.598876953125,3409.257080078125,3492.472412109375,3209.81298828125,3437.14892578125,1298.686279296875,2799.85400390625,366652.0,0.0730240261665097
1418.6812744140625,1110.076171875,3245.751953125,1428.6944580078125,28.2654972076416,3412.226806640625,3446.103759765625,3451.138916015625,1360.0987548828125,3272.07666015625,383318.0,0.07634330008316924
3399.673828125,3179.33984375,3248.09521484375,3204.68115234375,3351.662353515625,3489.61669921875,3270.205810546875,3429.484375,3298.8359375,3375.478759765625,399984.0,0.07966257399982876
1600.1170654296875,3275.162841796875,15.330713272094727,1521.9049072265625,995.3392944335938,3503.046630859375,1205.669677734375,1515.383544921875,3361.5419921875,1160.056396484375,416650.0,0.0829818479164883
3457.304443359375,3266.990966796875,1230.511474609375,1523.608154296875,2516.612060546875,2353.044677734375,3338.333984375,1381.510986328125,3356.6748046875,3293.89208984375,433316.0,0.08630112183314782
2309.740966796875,3425.203369140625,3262.9560546875,3242.67431640625,3420.597412109375,3527.002197265625,2541.224365234375,1746.9757080078125,3363.98046875,2232.653564453125,449982.0,0.08962039574980736
3394.1640625,3335.9677734375,3297.945068359375,3278.7841796875,1714.3895263671875,3542.424072265625,2381.856201171875,3505.0283203125,3356.251220703125,3289.910400390625,466648.0,0.0929396696664669
3425.29931640625,3340.986328125,3256.808349609375,2279.87109375,3440.123291015625,3487.29296875,2717.657470703125,3555.00341796875,3422.011962890625,1342.2987060546875,483314.0,0.09625894358312642
3473.71337890625,1944.855712890625,1902.6544189453125,3240.214599609375,3522.291015625,3542.17041015625,3369.462890625,1119.245849609375,3428.4921875,3323.462646484375,499980.0,0.09957821749978596
3482.390380859375,1232.5489501953125,3300.612548828125,3301.1943359375,2811.8037109375,3496.5625,1905.2254638671875,1317.0657958984375,3500.009765625,3403.6845703125,516646.0,0.10289749141644548
