eval/return/2unzgmic,eval/return/oyjbbtoz,eval/return/2v53e6ll,eval/return/ksmq1az3,eval/return/bdg6vbhz,eval/return/uylqajfa,eval/return/mzxdfi4y,eval/return/pui2k4q6,eval/return/euaqhaad,eval/return/crfjo9kl,step,wallclock
5157.640625,3956.310546875,954.1288452148438,5504.34375,2534.720947265625,5136.17333984375,1844.62255859375,465.3721618652344,792.9364013671875,1571.18212890625,383318.0,0.1678990315736444
4932.92919921875,1726.5157470703125,5028.0908203125,5533.59423828125,2537.814453125,1625.4439697265625,3845.477294921875,314.15631103515625,5106.71044921875,5180.1171875,399984.0,0.17519898946815068
784.0985717773438,5649.66064453125,5047.99755859375,5513.7236328125,3145.289306640625,1156.6419677734375,5293.55712890625,559.4577026367188,590.5628662109375,5246.4189453125,416650.0,0.18249894736265695
4969.1064453125,5639.3447265625,5056.58642578125,5561.1689453125,1033.1297607421875,2845.557861328125,1684.5018310546875,456.7890625,5121.44970703125,5216.68310546875,433316.0,0.18979890525716323
4986.1533203125,5596.90625,5093.07373046875,5392.19482421875,5374.1572265625,5265.396484375,5325.47265625,358.8574523925781,1745.0562744140625,5110.93505859375,449982.0,0.19709886315166952
515.0196533203125,5636.7626953125,952.4064331054688,5546.92529296875,4333.234375,2140.489990234375,3761.587890625,160.63233947753906,5131.73876953125,5099.37744140625,466648.0,0.2043988210461758
5188.54248046875,1807.482421875,5081.5908203125,5460.96337890625,3486.6005859375,4211.92919921875,1572.95849609375,124.0423812866211,5189.81298828125,5379.87646484375,483314.0,0.21169877894068206
281.0185852050781,5596.35693359375,5026.91259765625,535.385498046875,4554.6474609375,963.8569946289062,5188.2666015625,132.49197387695312,5207.31591796875,5260.92626953125,499980.0,0.21899873683518833
1459.250732421875,5868.572265625,5041.88232421875,5477.42578125,5412.26708984375,5161.1201171875,5155.87548828125,154.73016357421875,633.1265869140625,5290.47412109375,516646.0,0.22629869472969463
5250.1904296875,5795.69482421875,3032.28466796875,5460.8623046875,2011.8739013671875,5116.671875,5349.22314453125,303.22509765625,5149.30078125,2055.465087890625,533312.0,0.2335986526242009
