eval/return/yrp54ccz,eval/return/8ijn9b1d,eval/return/7l4hzuv5,eval/return/jhd24ua7,eval/return/i91cq4vx,eval/return/r1njeml3,eval/return/9lpcpxmp,eval/return/3kbjkcq7,eval/return/53rner56,eval/return/7abx8o9g,step,wallclock
153302.25,146659.046875,152022.984375,141704.03125,142460.65625,144856.96875,151824.3125,157148.296875,158346.8125,148390.90625,466648.0,0.1390036955714226
156788.0,145761.28125,153395.15625,142446.484375,144340.671875,145557.65625,151756.484375,156730.5625,156831.109375,148079.640625,483314.0,0.14396811327040196
144460.8125,145410.40625,154018.734375,142335.171875,141711.875,146739.9375,151981.1875,156544.171875,158678.4375,148022.9375,499980.0,0.14893253096938136
153773.75,145736.328125,153349.5625,142420.0625,144459.765625,147745.625,149840.484375,157446.53125,155377.1875,148501.671875,516646.0,0.15389694866836073
155408.390625,146414.09375,151950.890625,142244.421875,143336.5625,147275.671875,150722.75,156434.421875,155919.578125,149373.015625,533312.0,0.1588613663673401
156448.171875,145654.390625,153410.796875,142254.390625,144351.234375,146893.234375,151972.609375,157445.71875,155684.671875,147523.109375,549978.0,0.16382578406631948
155623.75,145967.53125,154248.65625,142434.328125,145065.890625,153283.03125,151910.265625,157255.046875,157120.828125,148306.390625,566644.0,0.16879020176529885
156449.359375,145888.671875,153542.859375,142175.484375,145979.75,142311.40625,151566.796875,157088.1875,151379.484375,148399.515625,583310.0,0.17375461946427825
155811.359375,146461.75,152347.703125,142325.765625,144761.171875,143524.109375,152483.65625,157259.796875,157850.125,148155.90625,599976.0,0.17871903716325763
152968.015625,156395.390625,154210.390625,142260.21875,145418.3125,151647.671875,151698.875,157363.890625,154952.6875,148369.28125,616642.0,0.183683454862237
154862.09375,156943.21875,153973.0,142258.8125,144939.53125,155023.359375,152198.46875,156641.71875,154683.0625,147675.1875,633308.0,0.18864787256121637
157618.359375,133853.75,153127.75,142303.046875,145318.25,154747.234375,152096.953125,156343.8125,156488.703125,148834.78125,649974.0,0.19361229026019575
158532.125,155741.765625,154389.96875,142075.625,145048.859375,154402.1875,151969.328125,156672.8125,158772.703125,148317.53125,666640.0,0.19857670795917515
159148.890625,145604.625,153769.953125,142337.5,153413.203125,153294.359375,151922.578125,156458.125,152879.78125,148063.640625,683306.0,0.20354112565815452
158849.15625,145231.9375,153899.96875,142231.40625,145132.390625,157146.96875,151423.28125,156985.828125,155797.90625,148296.015625,699972.0,0.2085055433571339
159402.265625,146808.265625,152905.4375,142218.484375,144998.84375,157231.28125,151376.328125,157456.203125,150493.796875,148791.421875,716638.0,0.21346996105611327
158768.015625,146042.484375,153928.265625,142393.796875,143388.8125,157058.703125,151850.640625,154771.671875,153728.578125,148863.3125,733304.0,0.21843437875509264
